anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,171,Rock'n'Roll-Beginners,Hope round,2,277,FM,1.58,2.0,0.79,"[5.0, 2.5, 6.5, 5.0, 2.5, 2.5]"
,171,Rock'n'Roll-Beginners,Hope round,2,277,FW,13.36,14.4,0.9277777777777777,"[-35.0, -75.0, -35.0, -50.0, -50.0, -50.0]"
,171,Rock'n'Roll-Beginners,Hope round,2,277,sm,1.37,2.3,0.5956521739130436,"[0.0, -2.0, -4.0, -2.0, -2.0, 0.0]"
,171,Rock'n'Roll-Beginners,Hope round,2,277,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Hope round,2,279,DF,1.68,2.3,0.7304347826086957,"[8.75, 6.25, 11.25, 10.0, 10.0, 7.5]"
,171,Rock'n'Roll-Beginners,Hope round,2,279,CO,1.11,2.0,0.555,"[8.0, 5.0, 7.0, 8.0, 6.0, 6.0]"
,171,Rock'n'Roll-Beginners,Hope round,2,279,FM,1.43,2.0,0.715,"[6.5, 2.5, 6.5, 6.5, 5.0, 5.0]"
yes,171,Rock'n'Roll-Beginners,Hope round,2,279,FW,18.63,14.4,1.29375,"[-35.0, -75.0, -25.0, -50.0, -50.0, -75.0]"
,171,Rock'n'Roll-Beginners,Hope round,2,279,sm,0.94,2.3,0.40869565217391307,"[0.0, -2.0, -2.0, 0.0, -2.0, -2.0]"
,171,Rock'n'Roll-Beginners,Hope round,2,279,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Hope round,3,6,DF,2.21,2.3,0.9608695652173913,"[10.0, 6.25, 12.5, 10.0, 8.75, 6.25]"
,171,Rock'n'Roll-Beginners,Hope round,3,6,CO,1.41,2.0,0.705,"[8.0, 6.0, 8.0, 9.0, 6.0, 5.0]"
,171,Rock'n'Roll-Beginners,Hope round,3,6,FM,1.43,2.0,0.715,"[6.5, 2.5, 6.5, 6.5, 5.0, 5.0]"
