anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,164,Rock'n'Roll-Beginners,Hope round,2,276,DF,1.18,2.3,0.5130434782608696,"[7.5, 6.25, 6.25, 8.75, 6.25, 5.0]"
,164,Rock'n'Roll-Beginners,Hope round,2,276,CO,0.94,2.0,0.47,"[7.0, 6.0, 7.0, 7.0, 8.0, 5.0]"
,164,Rock'n'Roll-Beginners,Hope round,2,276,FM,1.18,2.0,0.59,"[2.5, 2.5, 2.5, 5.0, 5.0, 2.5]"
,164,Rock'n'Roll-Beginners,Hope round,2,276,FW,0.0,14.4,0.0,"[-50.0, -50.0, -50.0, -50.0, -50.0, -50.0]"
,164,Rock'n'Roll-Beginners,Hope round,2,276,sm,1.89,2.3,0.8217391304347826,"[-4.0, -2.0, -4.0, -6.0, 0.0, -4.0]"
,164,Rock'n'Roll-Beginners,Hope round,2,276,bm,3.73,8.0,0.46625,"[0.0, 0.0, 0.0, 0.0, -10.0, 0.0]"
,164,Rock'n'Roll-Beginners,Hope round,2,6,DF,1.56,2.3,0.6782608695652175,"[7.5, 6.25, 7.5, 11.25, 7.5, 7.5]"
,164,Rock'n'Roll-Beginners,Hope round,2,6,CO,1.49,2.0,0.745,"[4.0, 5.0, 7.0, 8.0, 4.0, 6.0]"
,164,Rock'n'Roll-Beginners,Hope round,2,6,FM,1.18,2.0,0.59,"[2.5, 5.0, 5.0, 5.0, 2.5, 5.0]"
yes,164,Rock'n'Roll-Beginners,Hope round,2,6,FW,15.81,14.4,1.0979166666666667,"[-75.0, -50.0, -75.0, -50.0, -75.0, -35.0]"
,164,Rock'n'Roll-Beginners,Hope round,2,6,sm,1.49,2.3,0.6478260869565218,"[-2.0, 0.0, 0.0, -4.0, -2.0, 0.0]"
,164,Rock'n'Roll-Beginners,Hope round,2,6,bm,3.73,8.0,0.46625,"[0.0, -10.0, 0.0, 0.0, 0.0, 0.0]"
,164,Rock'n'Roll-Beginners,Hope round,3,277,DF,0.86,2.3,0.3739130434782609,"[7.5, 6.25, 7.5, 8.75, 8.75, 7.5]"
,164,Rock'n'Roll-Beginners,Hope round,3,277,CO,0.69,2.0,0.345,"[7.0, 6.0, 7.0, 8.0, 7.0, 6.0]"
,164,Rock'n'Roll-Beginners,Hope round,3,277,FM,1.18,2.0,0.59,"[2.5, 5.0, 2.5, 5.0, 2.5, 2.5]"
